Team_1,Team_2,Team_1_Score,Team_2_Score,Team_1_Rank,Team_2_Rank
Flyers,Flames,3,2,27,22
Avalanche,Panthers,4,8,12,6
Canadiens,Rangers,4,3,28,3
Devils,Canucks,4,6,25,9
Sharks,Maple Leafs,1,4,32,8
Blue Jackets,Wild,3,4,29,20
Bruins,Lightning,7,3,7,11
Penguins,Sabres,1,3,17,21
Stars,Predators,3,4,1,13
Hurricanes,Blues,1,2,2,18
Oilers,Senators,3,1,5,26
Golden Knights,Islanders,5,2,10,14
Penguins,Rangers,5,2,17,3
Kraken,Sharks,4,2,24,32
Avalanche,Blue Jackets,1,4,12,29
Islanders,Flyers,4,3,14,27
Maple Leafs,Sharks,7,1,8,32
Lightning,Kings,3,2,11,15
Sabres,Kraken,2,5,21,24
Islanders,Canucks,2,5,14,9
Predators,Ducks,3,5,13,30
Jets,Blue Jackets,5,0,4,29
Blues,Panthers,1,5,18,6
Blackhawks,Oilers,1,2,31,5
Flames,Senators,6,3,22,26
Coyotes,Bruins,4,3,23,7
Lightning,Devils,4,3,11,25
Hurricanes,Ducks,6,3,2,32
Penguins,Canucks,3,4,17,9
Capitals,Kraken,1,4,19,24
Islanders,Maple Leafs,4,3,14,8
Canadiens,Sharks,2,3,28,32
Red Wings,Oilers,2,3,16,5
Sabres,Senators,5,3,21,26
Panthers,Kings,3,2,13,15
Blues,Rangers,5,2,18,3
Jets,Blackhawks,2,1,4,31
Coyotes,Flames,2,6,23,22
Golden Knights,Bruins,2,1,10,7
